,id,user_id,song_position,score,description,creation_date,song_name,artist_name,genre,name,instrument_played,languages_preferences,live_concert_attendance
0,101,5,5,3.3,"Lacks originality, but still enjoyable.",2024-07-16,One Dance,Drake,"['toronto rap', 'canadian pop', 'canadian hip hop', 'rap', 'pop rap', 'hip hop']",Anna Kelly,['Guitar'],"['German', 'Spanish']",4
1,101,5,5,3.3,"Lacks originality, but still enjoyable.",2024-07-16,Don't Wanna Know,Maroon 5,"['pop', 'pop rock']",Anna Kelly,['Guitar'],"['German', 'Spanish']",4
2,101,5,5,3.3,"Lacks originality, but still enjoyable.",2024-07-16,Let Me Love You,DJ Snake,"['pop', 'electronic trap', 'dance pop', 'edm', 'pop dance', 'pop rap']",Anna Kelly,['Guitar'],"['German', 'Spanish']",4
3,101,5,5,3.3,"Lacks originality, but still enjoyable.",2024-07-16,Let Me Love You,DJ Snake,"['pop', 'electronic trap', 'dance pop', 'edm', 'pop dance', 'pop rap']",Anna Kelly,['Guitar'],"['German', 'Spanish']",4
4,101,5,5,3.3,"Lacks originality, but still enjoyable.",2024-07-16,Let Me Love You,DJ Snake,"['pop', 'electronic trap', 'dance pop', 'edm', 'pop dance', 'pop rap']",Anna Kelly,['Guitar'],"['German', 'Spanish']",4
5,101,5,5,3.3,"Lacks originality, but still enjoyable.",2024-07-16,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,"['pop', 'uk dance', 'dance pop', 'uk funky', 'tropical house', 'pop dance', 'post-teen pop', 'edm']",Anna Kelly,['Guitar'],"['German', 'Spanish']",4
6,101,5,5,3.3,"Lacks originality, but still enjoyable.",2024-07-16,Closer,The Chainsmokers,"['pop', 'pop dance', 'tropical house', 'edm', 'electropop', 'dance pop']",Anna Kelly,['Guitar'],"['German', 'Spanish']",4
7,101,5,5,3.3,"Lacks originality, but still enjoyable.",2024-07-16,Closer,The Chainsmokers,"['pop', 'pop dance', 'tropical house', 'edm', 'electropop', 'dance pop']",Anna Kelly,['Guitar'],"['German', 'Spanish']",4
8,101,5,5,3.3,"Lacks originality, but still enjoyable.",2024-07-16,"I Donât Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,"['pop', 'post-teen pop', 'uk pop', 'dance pop']",Anna Kelly,['Guitar'],"['German', 'Spanish']",4
9,101,5,5,3.3,"Lacks originality, but still enjoyable.",2024-07-16,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,"['pop', 'uk dance', 'dance pop', 'uk funky', 'tropical house', 'pop dance', 'post-teen pop', 'edm']",Anna Kelly,['Guitar'],"['German', 'Spanish']",4
10,101,5,5,3.3,"Lacks originality, but still enjoyable.",2024-07-16,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,"['pop', 'uk dance', 'dance pop', 'uk funky', 'tropical house', 'pop dance', 'post-teen pop', 'edm']",Anna Kelly,['Guitar'],"['German', 'Spanish']",4
11,101,5,5,3.3,"Lacks originality, but still enjoyable.",2024-07-16,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,"['pop', 'uk dance', 'dance pop', 'uk funky', 'tropical house', 'pop dance', 'post-teen pop', 'edm']",Anna Kelly,['Guitar'],"['German', 'Spanish']",4
12,101,5,5,3.3,"Lacks originality, but still enjoyable.",2024-07-16,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,"['pop', 'uk dance', 'dance pop', 'uk funky', 'tropical house', 'pop dance', 'post-teen pop', 'edm']",Anna Kelly,['Guitar'],"['German', 'Spanish']",4
13,101,5,5,3.3,"Lacks originality, but still enjoyable.",2024-07-16,"I Donât Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,"['pop', 'post-teen pop', 'uk pop', 'dance pop']",Anna Kelly,['Guitar'],"['German', 'Spanish']",4
14,101,5,5,3.3,"Lacks originality, but still enjoyable.",2024-07-16,Paris,The Chainsmokers,"['pop', 'pop dance', 'tropical house', 'edm', 'electropop', 'dance pop']",Anna Kelly,['Guitar'],"['German', 'Spanish']",4
15,101,5,5,3.3,"Lacks originality, but still enjoyable.",2024-07-16,"I Donât Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,"['pop', 'post-teen pop', 'uk pop', 'dance pop']",Anna Kelly,['Guitar'],"['German', 'Spanish']",4
16,101,5,5,3.3,"Lacks originality, but still enjoyable.",2024-07-16,"I Donât Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,"['pop', 'post-teen pop', 'uk pop', 'dance pop']",Anna Kelly,['Guitar'],"['German', 'Spanish']",4
17,101,5,5,3.3,"Lacks originality, but still enjoyable.",2024-07-16,"I Donât Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,"['pop', 'post-teen pop', 'uk pop', 'dance pop']",Anna Kelly,['Guitar'],"['German', 'Spanish']",4
18,101,5,5,3.3,"Lacks originality, but still enjoyable.",2024-07-16,"I Donât Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,"['pop', 'post-teen pop', 'uk pop', 'dance pop']",Anna Kelly,['Guitar'],"['German', 'Spanish']",4
19,101,5,5,3.3,"Lacks originality, but still enjoyable.",2024-07-16,"I Donât Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,"['pop', 'post-teen pop', 'uk pop', 'dance pop']",Anna Kelly,['Guitar'],"['German', 'Spanish']",4
